Observations,Brand preferences,Total sales,Fuel types,trim,body,transmission
7/1/1977,Nissan,10.383,Gasoline,750Li,Sedan,automatic
7/1/1977,Nissan,10.383,Gasoline,LT,Coupe,automatic
7/1/1977,Mahindra,10.415,Bio Diesel,T5,Wagon,automatic
7/1/1977,Suzuki,10.415,Ethanol,650i,Coupe,automatic
8/1/1977,Xiaomi,10.415,Bio Diesel,LT,Coupe,automatic
8/1/1977,Tesla,10.415,Bio Diesel,650i,Sedan,automatic
8/1/1977,BYD,10.428,Ethanol,LX,SUV,automatic
8/1/1977,Kia Corporation,10.428,Gasoline,LX,SUV,automatic
9/1/1977,BYD,10.428,Gasoline,Leather Group,SUV,automatic
9/1/1977,Tesla,10.428,Gasoline,Base,Sedan,automatic
9/1/1977,Mahindra,10.444,Ethanol,Base,Sedan,automatic
9/1/1977,Suzuki,10.444,Ethanol,quattro,Coupe,automatic
1/1/1978,Suzuki,10.444,Bio Diesel,SE,Sedan,automatic
1/1/1978,Xiaomi,10.444,Bio Diesel,428i SULEV,Coupe,automatic
1/1/1978,Tesla,10.449,Ethanol,LX,SUV,automatic
1/1/1978,BYD,10.449,Gasoline,2LT,Sedan,automatic
2/1/1978,Kia Corporation,10.449,Gasoline,2LT,Sedan,automatic
2/1/1978,Toyota,10.449,Gasoline,Work Truck,Crew Cab,
2/1/1978,Suzuki,10.49,Ethanol,LX,SUV,automatic
2/1/1978,Tata motors,10.49,Ethanol,SE,Sedan,automatic
3/1/1978,Mahindra,10.49,Ethanol,SE,Sedan,automatic
3/1/1978,Toyota,10.49,Diesel,Advance and Entertainment Packages,SUV,automatic
3/1/1978,Suzuki,10.526,Diesel,SE,Sedan,automatic
3/1/1978,Mahindra,10.526,Gasoline,650i,Convertible,automatic
4/1/1978,Hyundai,10.526,Gasoline,2LT,Sedan,automatic
4/1/1978,Nissan,10.576,Gasoline,LT,Crew Cab,automatic
4/1/1978,Nissan,10.576,Bio Diesel,2LT,Sedan,automatic
4/1/1978,Mahindra,10.576,Ethanol,LX,SUV,automatic
5/1/1978,Suzuki,10.608,Bio Diesel,2LT,Sedan,automatic
5/1/1978,Xiaomi,10.608,Bio Diesel,T5,Wagon,automatic
5/1/1978,Tesla,10.608,Ethanol,LS,Coupe,manual
5/1/1978,BYD,10.608,Gasoline,2.5 S,Sedan,automatic
6/1/1978,Kia Corporation,10.651,Gasoline,650i,Convertible,automatic
6/1/1978,Toyota,10.651,Gasoline,SE,Sedan,automatic
6/1/1978,Suzuki,10.651,Ethanol,535d,Sedan,automatic
6/1/1978,Tata motors,10.651,Ethanol,650i,Convertible,automatic
7/1/1978,Tesla,10.865,Gasoline,LX,SUV,automatic
7/1/1978,Toyot+B2:B85a,10.865,Gasoline,Luxury,SUV,automatic
7/1/1978,Suzuki,10.865,Ethanol,xDrive35i,SUV,automatic
7/1/1978,Tata motors,10.865,Ethanol,SE,Sedan,automatic
7/1/1978,Mahindra,10.893,Ethanol,1LT,Sedan,
7/1/1978,Toyota,10.893,Diesel,LT,Crew Cab,automatic
7/1/1978,Suzuki,10.893,Diesel,LX,SUV,automatic
7/1/1978,Mahindra,10.912,Gasoline,LX,SUV,automatic
7/1/1978,Kia Corporation,10.912,Gasoline,Base,Sedan,automatic
7/1/1978,Toyota,10.912,Gasoline,LX,SUV,automatic
7/1/1978,Suzuki,10.912,Ethanol,T5,Wagon,automatic
7/1/1978,Tata motors,10.924,Ethanol,LT,Coupe,automatic
8/1/1978,Mahindra,10.924,Ethanol,2LT,Sedan,automatic
8/1/1978,Toyota,10.924,Diesel,SE,Sedan,automatic
8/1/1978,Suzuki,10.924,Diesel,G37 Sport,G Coupe,automatic
8/1/1978,Mahindra,10.933,Gasoline,G37 Journey,G Sedan,automatic
8/1/1978,Hyundai,10.933,Gasoline,G37 Journey,G Sedan,automatic
8/1/1978,Nissan,10.933,Gasoline,G37 Sport,G Coupe,automatic
8/1/1978,Nissan,10.939,Bio Diesel,G37 Sport,G Coupe,automatic
8/1/1978,Mahindra,10.939,Ethanol,G37 Journey,G Sedan,automatic
8/1/1978,Mahindra,10.939,Ethanol,G37 Journey,G Sedan,automatic
8/1/1978,Toyota,10.939,Diesel,FX37,SUV,automatic
8/1/1978,Suzuki,11.023,Diesel,G37 Journey,G Sedan,automatic
8/1/1978,Mahindra,11.023,Gasoline,Limited,SUV,automatic
9/1/1978,Hyundai,11.023,Gasoline,5.0 R-Spec,Sedan,automatic
9/1/1978,Nissan,11.023,Gasoline,Signature,Sedan,automatic
9/1/1978,Nissan,11.041,Bio Diesel,G37 Journey,G Sedan,automatic
9/1/1978,Mahindra,11.041,Ethanol,GLS,Sedan,automatic
9/1/1978,Suzuki,11.041,Bio Diesel,Limited,SUV,automatic
9/1/1978,Xiaomi,11.08,Bio Diesel,GLS,Sedan,automatic
9/1/1978,Tesla,11.08,Ethanol,G37 Sport,G Coupe,automatic
9/1/1978,BYD,11.08,Gasoline,GLS,Sedan,automatic
9/1/1978,Hyundai,11.08,Gasoline,G37 Journey,G Sedan,automatic
9/1/1978,Nissan,11.103,Gasoline,G37 Sport,G Coupe,automatic
9/1/1978,Nissan,11.103,Bio Diesel,GLS,Sedan,automatic
9/1/1978,Mahindra,11.103,Ethanol,GLS,Sedan,manual
1/1/1979,Suzuki,11.103,Bio Diesel,GLS,Sedan,automatic
1/1/1979,Xiaomi,11.129,Bio Diesel,GLS,Sedan,automatic
1/1/1979,Tesla,11.129,Ethanol,Limited,Sedan,automatic
1/1/1979,BYD,11.129,Gasoline,G37 Journey,G Sedan,automatic
2/1/1979,Kia Corporation,11.129,Gasoline,Limited,Sedan,automatic
2/1/1979,Toyota,11.154,Gasoline,Sport,SUV,automatic
2/1/1979,Suzuki,11.154,Ethanol,G37 Journey,G Sedan,automatic
2/1/1979,Tata motors,11.154,Ethanol,G37 Journey,G Sedan,automatic
3/1/1979,Mahindra,11.154,Ethanol,G37 Journey,G Sedan,automatic
3/1/1979,Toyota,11.249,Diesel,G37 Journey,G Sedan,automatic
3/1/1979,Suzuki,11.249,Diesel,G37 Sport,G Coupe,automatic
3/1/1979,Mahindra,11.249,Gasoline,G37 Journey,G Sedan,automatic
4/1/1979,Hyundai,11.249,Gasoline,GLS,Sedan,automatic
4/1/1979,Nissan,11.257,Gasoline,Limited,SUV,automatic
4/1/1979,Nissan,11.257,Bio Diesel,GLS,Sedan,automatic
4/1/1979,Mahindra,11.257,Ethanol,Limited,Sedan,automatic
5/1/1979,Suzuki,11.257,Bio Diesel,GLS,Sedan,automatic
5/1/1979,Xiaomi,11.282,Bio Diesel,Limited,Sedan,automatic
5/1/1979,Tesla,11.282,Ethanol,GLS,Sedan,automatic
5/1/1979,BYD,11.282,Gasoline,G37 Journey,G Sedan,automatic
6/1/1979,Kia Corporation,11.282,Gasoline,G37 Journey,G Sedan,automatic
6/1/1979,BYD,11.284,Gasoline,G37 Journey,G Sedan,automatic
6/1/1979,Tesla,11.284,Ethanol,G37 Journey,G Sedan,automatic
6/1/1979,Mahindra,11.284,Ethanol,G37 Journey,G Sedan,automatic
6/1/1979,Mahindra,11.412,Bio Diesel,G37 Journey,G Sedan,automatic
7/1/1979,Suzuki,11.412,Gasoline,Limited,Sedan,automatic
7/1/1979,Tesla,11.412,Gasoline,Sport 2.0T,SUV,automatic
7/1/1979,Nissan,11.412,Ethanol,G37 Journey,G Sedan,automatic
7/1/1979,Mahindra,11.454,Ethanol,G37 Journey,G Sedan,automatic
7/1/1979,Toyota,11.454,Bio Diesel,Limited,Sedan,automatic
7/1/1979,Suzuki,11.454,Ethanol,G37 Journey,G Sedan,automatic
7/1/1979,Mahindra,11.566,Gasoline,GLS,Sedan,automatic
7/1/1979,Hyundai,11.566,Gasoline,G37 Journey,G Sedan,automatic
8/1/1979,Suzuki,11.566,Ethanol,Turbo,Hatchback,automatic
8/1/1979,Xiaomi,11.598,Diesel,G37 Sport,G Coupe,automatic
8/1/1979,Tesla,11.598,Diesel,GLS,Sedan,automatic
8/1/1979,BYD,11.598,Gasoline,SE,Elantra Coupe,automatic
8/1/1979,Nissan,11.664,Gasoline,G37 Sport,G Coupe,automatic
8/1/1979,Nissan,11.664,Ethanol,G37 Journey,G Sedan,automatic
8/1/1979,Mahindra,11.664,Ethanol,G37 Journey,G Sedan,automatic
8/1/1979,Suzuki,11.664,Ethanol,G37 Journey,G Sedan,automatic
9/1/1979,Kia Corporation,11.673,Gasoline,G37 Journey,G Sedan,automatic
9/1/1979,Toyota,11.673,Gasoline,G37 Journey,G Sedan,automatic
9/1/1979,Suzuki,11.673,Bio Diesel,GLS,Sedan,automatic
9/1/1979,Tata motors,11.673,Ethanol,G37 Journey,G Sedan,automatic
9/1/1979,Xiaomi,11.772,Diesel,G37 Journey,G Sedan,automatic
9/1/1979,Tesla,11.772,Diesel,G37 Journey,G Sedan,automatic
9/1/1979,BYD,11.772,Gasoline,GLS,Sedan,automatic
1/1/1980,Kia Corporation,11.829,Gasoline,G37 Journey,G Sedan,automatic
1/1/1980,Toyota,11.829,Gasoline,Limited,Sedan,automatic
1/1/1980,Suzuki,11.829,Bio Diesel,GS,Hatchback,automatic
1/1/1980,Tata motors,11.829,Ethanol,GLS,Sedan,automatic
2/1/1980,Mahindra,11.836,Bio Diesel,G37 Journey,G Sedan,automatic
2/1/1980,Toyota,11.836,Bio Diesel,FX37,SUV,automatic
2/1/1980,Suzuki,11.836,Ethanol,GLS,Sedan,automatic
2/1/1980,Mahindra,11.886,Gasoline,G37 Journey,G Sedan,automatic
3/1/1980,Hyundai,11.886,Gasoline,G37 Journey,G Sedan,automatic
3/1/1980,Nissan,11.886,Gasoline,GLS,Sedan,automatic
3/1/1980,Nissan,11.922,Ethanol,Base,Sedan,automatic
3/1/1980,Mahindra,11.922,Ethanol,Sport 2.0T,SUV,automatic
4/1/1980,Suzuki,11.922,Ethanol,GLS,Sedan,automatic
4/1/1980,Xiaomi,11.948,Diesel,Base,Sedan,automatic
4/1/1980,Tesla,11.948,Diesel,G37 Journey,G Sedan,automatic
4/1/1980,BYD,11.948,Gasoline,GLS,Sedan,automatic
5/1/1980,Kia Corporation,12.014,Gasoline,G37 Sport,G Coupe,automatic
5/1/1980,BYD,12.014,Gasoline,G37 Sport,G Coupe,automatic
5/1/1980,Tesla,12.014,Bio Diesel,G37 Journey,G Sedan,automatic
5/1/1980,Mahindra,12.028,Ethanol,G37 Journey,G Sedan,automatic
6/1/1980,Suzuki,12.028,Bio Diesel,GLS,SUV,automatic
6/1/1980,Tesla,12.028,Bio Diesel,G37 Journey,G Sedan,automatic
6/1/1980,Nissan,12.028,Ethanol,G37 Journey,G Sedan,automatic
6/1/1980,Mahindra,12.03,Gasoline,GLS,Sedan,automatic
7/1/1980,Suzuki,12.03,Gasoline,Limited,Sedan,automatic
7/1/1980,Xiaomi,12.03,Gasoline,Base,Sedan,automatic
7/1/1980,Tesla,12.03,Ethanol,G37 Journey,G Sedan,automatic
7/1/1980,BYD,12.03,Ethanol,G37 Journey,G Sedan,automatic
7/1/1980,Hyundai,12.03,Bio Diesel,G37 Journey,G Sedan,automatic
7/1/1980,Nissan,12.03,Bio Diesel,Limited,Sedan,automatic
7/1/1980,Nissan,12.038,Ethanol,G37 Journey,G Sedan,automatic
8/1/1980,Kia Corporation,12.038,Ethanol,Base,Sedan,automatic
8/1/1980,Toyota,12.038,Diesel,G37 Sport,G Coupe,automatic
8/1/1980,Suzuki,12.038,Diesel,GLS,Sedan,automatic
8/1/1980,Tata motors,12.077,Gasoline,G37 Journey,G Sedan,automatic
8/1/1980,Mahindra,12.077,Gasoline,5.0 R-Spec,Sedan,automatic
8/1/1980,Suzuki,12.077,Gasoline,Ultimate,Sedan,automatic
8/1/1980,Xiaomi,12.077,Gasoline,G37 Journey,G Sedan,automatic
8/1/1980,Tesla,12.217,Ethanol,GLS,Sedan,automatic
9/1/1980,Mahindra,12.217,Gasoline,GLS,Sedan,automatic
9/1/1980,Toyota,12.217,Gasoline,GLS,Sedan,automatic
9/1/1980,Suzuki,12.217,Bio Diesel,G37 Journey,G Sedan,automatic
9/1/1980,Mahindra,12.246,Ethanol,G37 Journey,G Sedan,automatic
9/1/1980,BYD,12.246,Ethanol,G37 Journey,G Sedan,automatic
9/1/1980,Kia Corporation,12.246,Ethanol,GLS,Sedan,automatic
9/1/1980,Toyota,12.246,Diesel,G37 Journey,G Sedan,automatic
9/1/1980,Suzuki,12.28,Diesel,Turbo,Hatchback,automatic
9/1/1980,Tata motors,12.28,Gasoline,G37 Journey,G Sedan,automatic
1/1/1981,Mahindra,12.28,Gasoline,G37 Journey,G Sedan,automatic
1/1/1981,Toyota,12.3,Gasoline,Base,Sedan,automatic
1/1/1981,Suzuki,12.3,Bio Diesel,G37 Journey,G Sedan,automatic
1/1/1981,Mahindra,12.3,Ethanol,G37 Journey,G Sedan,automatic
2/1/1981,Hyundai,12.351,Bio Diesel,GLS,Sedan,automatic
2/1/1981,Nissan,12.351,Bio Diesel,G37 Sport,G Coupe,automatic
2/1/1981,Nissan,12.351,Ethanol,G37 Journey,G Sedan,automatic
2/1/1981,Mahindra,12.351,Gasoline,GLS,Sedan,automatic
3/1/1981,Suzuki,12.409,Gasoline,G37 Sport,G Coupe,automatic
3/1/1981,Xiaomi,12.409,Gasoline,Base,Sedan,automatic
3/1/1981,Tesla,12.409,Ethanol,Limited,Sedan,automatic
3/1/1981,BYD,12.409,Ethanol,G37 Journey,G Sedan,automatic
4/1/1981,Kia Corporation,12.414,Gasoline,GLS,Sedan,automatic
4/1/1981,BYD,12.414,Gasoline,G37 Journey,G Sedan,automatic
4/1/1981,Tesla,12.414,Ethanol,SE,Hatchback,automatic
4/1/1981,Mahindra,12.414,Ethanol,GLS,Sedan,automatic
5/1/1981,Suzuki,12.414,Ethanol,G37 Journey,G Sedan,automatic
5/1/1981,Tesla,12.414,Diesel,GLS,Sedan,automatic
5/1/1981,Toyot+B2:B85a,12.414,Diesel,GLS,Sedan,automatic
5/1/1981,Suzuki,12.427,Gasoline,G37 Sport,G Coupe,automatic
6/1/1981,Tata motors,12.427,Gasoline,G37 Journey,G Sedan,automatic
6/1/1981,Mahindra,12.427,Gasoline,G37 Journey,G Sedan,automatic
6/1/1981,Toyota,12.427,Bio Diesel,Limited,Sedan,automatic
6/1/1981,Suzuki,12.451,Ethanol,G37 Sport,G Coupe,automatic
7/1/1981,Mahindra,12.451,Bio Diesel,3.8,Sedan,automatic
7/1/1981,Hyundai,12.451,Bio Diesel,Sport 2.0T,SUV,automatic
7/1/1981,Nissan,12.451,Ethanol,GLS,Sedan,automatic
7/1/1981,Nissan,12.487,Gasoline,GLS,Sedan,automatic
8/1/1981,Mahindra,12.487,Gasoline,G37 Journey,G Sedan,automatic
8/1/1981,Suzuki,12.487,Gasoline,3.8,Sedan,automatic
8/1/1981,Xiaomi,12.487,Ethanol,GLS,Sedan,automatic
8/1/1981,Tesla,12.508,Ethanol,GLS,Sedan,automatic
9/1/1981,BYD,12.508,Ethanol,G37 Sport,G Coupe,automatic
9/1/1981,Kia Corporation,12.508,Diesel,G37 Journey,G Sedan,automatic
9/1/1981,Toyota,12.55,Diesel,Sport 2.0T,SUV,automatic
9/1/1981,Suzuki,12.55,Gasoline,GS,Elantra Coupe,automatic
1/1/1982,Kia Corporation,12.55,Diesel,G37 Journey,G Sedan,automatic
1/1/1982,Toyota,12.55,Diesel,GLS,Sedan,automatic
1/1/1982,Suzuki,12.565,Gasoline,Ultimate,Sedan,automatic
2/1/1982,Tata motors,12.565,Gasoline,GLS,Sedan,automatic
2/1/1982,Mahindra,12.565,Gasoline,G37 Journey,G Sedan,automatic
2/1/1982,Toyota,12.565,Bio Diesel,Base,Sedan,
2/1/1982,Suzuki,12.576,Ethanol,G37 Journey,G Sedan,automatic
3/1/1982,Mahindra,12.576,Bio Diesel,SE,Hatchback,automatic
3/1/1982,Hyundai,12.576,Bio Diesel,G37 Journey,G Sedan,automatic
3/1/1982,Nissan,12.576,Ethanol,G37 Journey,G Sedan,automatic
3/1/1982,Nissan,12.591,Gasoline,G37 Journey,G Sedan,automatic
4/1/1982,Mahindra,12.591,Gasoline,G37 Journey,G Sedan,automatic
4/1/1982,Suzuki,12.591,Gasoline,Base,Sedan,automatic
4/1/1982,Xiaomi,12.591,Ethanol,GLS,Sedan,automatic
4/1/1982,Tesla,12.604,Ethanol,G37 Journey,G Sedan,automatic
5/1/1982,BYD,12.604,Ethanol,G37 Journey,G Sedan,automatic
5/1/1982,Kia Corporation,12.604,Diesel,G37 Journey,G Sedan,automatic
5/1/1982,Toyota,12.605,Diesel,G37 Journey,G Sedan,automatic
5/1/1982,Suzuki,12.605,Gasoline,GLS,Sedan,automatic
6/1/1982,Tata motors,12.605,Gasoline,Limited,Sedan,automatic
6/1/1982,Mahindra,12.658,Gasoline,G37 Journey,G Sedan,automatic
6/1/1982,Toyota,12.658,Bio Diesel,Base,Hatchback,automatic
6/1/1982,Suzuki,12.658,Ethanol,GLS,Sedan,automatic
7/1/1982,Mahindra,12.658,Bio Diesel,GLS,Sedan,automatic
7/1/1982,Hyundai,12.681,Bio Diesel,GLS,Sedan,automatic
7/1/1982,Nissan,12.681,Ethanol,Limited,SUV,automatic
7/1/1982,Nissan,12.681,Gasoline,G37 Journey,G Sedan,automatic
8/1/1982,Mahindra,12.681,Gasoline,3.8 Track,Genesis Coupe,automatic
8/1/1982,Suzuki,12.719,Gasoline,Limited,Sedan,automatic
8/1/1982,Xiaomi,12.719,Ethanol,Sport,SUV,automatic
8/1/1982,Tesla,12.719,Ethanol,5.0 R-Spec,Sedan,automatic
9/1/1982,BYD,12.719,Ethanol,G37 Journey,G Sedan,automatic
9/1/1982,Kia Corporation,12.72,Diesel,GLS,Sedan,automatic
9/1/1982,Toyota,12.72,Diesel,GLS,Sedan,automatic
9/1/1982,Suzuki,12.72,Gasoline,GS,Hatchback,manual
1/1/1983,Kia Corporation,12.722,Gasoline,G37 Journey,G Sedan,automatic
1/1/1983,BYD,12.722,Ethanol,G37 Journey,G Sedan,automatic
1/1/1983,Tesla,12.722,Ethanol,G37 Journey,G Sedan,automatic
2/1/1983,Mahindra,12.744,Ethanol,G37 Journey,G Sedan,automatic
2/1/1983,Suzuki,12.744,Diesel,Limited,SUV,automatic
2/1/1983,Tesla,12.744,Diesel,Limited,Sedan,automatic
2/1/1983,Toyot+B2:B85a,12.744,Gasoline,G37 Journey,G Sedan,automatic
3/1/1983,Suzuki,12.806,Gasoline,GLS,Sedan,automatic
3/1/1983,Tata motors,12.806,Gasoline,GLS,Sedan,automatic
3/1/1983,Mahindra,12.806,Bio Diesel,G37 Journey,G Sedan,automatic
3/1/1983,Toyota,12.814,Ethanol,Limited,Sedan,automatic
4/1/1983,Suzuki,12.814,Bio Diesel,G37 Sport,G Coupe,automatic
4/1/1983,Mahindra,12.814,Bio Diesel,G37 Journey,G Sedan,automatic
4/1/1983,Hyundai,12.814,Ethanol,G37 Journey,G Sedan,automatic
4/1/1983,Nissan,12.823,Gasoline,G37 Journey,G Sedan,automatic
5/1/1983,Nissan,12.823,Gasoline,G37 Journey,G Sedan,automatic
5/1/1983,Mahindra,12.823,Gasoline,Limited,Sedan,automatic
5/1/1983,Suzuki,12.823,Ethanol,G37 Sport,G Coupe,automatic
5/1/1983,Xiaomi,12.824,Ethanol,G37 Sport,G Coupe,automatic
6/1/1983,Tata motors,12.824,Gasoline,G37 Journey,G Sedan,automatic
6/1/1983,Mahindra,12.824,Gasoline,3.8,Sedan,automatic
6/1/1983,Tata motors,12.824,Gasoline,G37 Journey,G Sedan,automatic
6/1/1983,Mahindra,12.848,Gasoline,GLS,Sedan,automatic
6/1/1983,Tesla,12.848,Ethanol,G37 Journey,G Sedan,automatic
6/1/1983,BYD,12.848,Diesel,GLS,Sedan,automatic
6/1/1983,Kia Corporation,12.848,Diesel,G37 Journey,G Sedan,automatic
6/1/1983,Toyota,12.853,Gasoline,GLS,Sedan,automatic
6/1/1983,Tesla,12.853,Ethanol,Sport 2.0T,SUV,automatic
6/1/1983,BYD,12.853,Diesel,GLS,Sedan,automatic
7/1/1983,Toyota,12.853,Bio Diesel,G37 Journey,G Sedan,automatic
7/1/1983,Suzuki,12.873,Ethanol,GLS,Sedan,automatic
7/1/1983,Mahindra,12.873,Bio Diesel,G37 Journey,G Sedan,automatic
7/1/1983,Hyundai,12.873,Bio Diesel,GLS,Sedan,automatic
7/1/1983,Toyota,12.873,Bio Diesel,G37 Sport,G Coupe,automatic
7/1/1983,Suzuki,12.917,Ethanol,G37 Journey,G Sedan,automatic
7/1/1983,Mahindra,12.917,Bio Diesel,G37 Journey,G Sedan,automatic
7/1/1983,Hyundai,12.917,Bio Diesel,G37 Sport,G Coupe,automatic
7/1/1983,Suzuki,12.917,Gasoline,G37 Journey,G Sedan,automatic
7/1/1983,Tata motors,12.927,Gasoline,GLS,Sedan,automatic
7/1/1983,Mahindra,12.927,Bio Diesel,G37 Journey,G Sedan,automatic
7/1/1983,Toyota,12.927,Ethanol,SE,Sedan,automatic
7/1/1983,Kia Corporation,12.927,Diesel,GLS,Sedan,automatic
7/1/1983,Toyota,12.953,Gasoline,GLS,Sedan,automatic
7/1/1983,Suzuki,12.953,Gasoline,Unlimited Rubicon,SUV,manual
7/1/1983,Tata motors,12.953,Gasoline,EX Hybrid,Sedan,automatic
8/1/1983,Nissan,12.953,Ethanol,2.5,Sedan,automatic
8/1/1983,Nissan,12.958,Gasoline,S550,Sedan,automatic
8/1/1983,Mahindra,12.958,Gasoline,2.5,Sedan,automatic
8/1/1983,Suzuki,12.958,Gasoline,Base,Sedan,automatic
8/1/1983,Nissan,12.958,Ethanol,SE,SUV,automatic
8/1/1983,Nissan,12.96,Gasoline,EX Hybrid,Sedan,automatic
8/1/1983,Mahindra,12.96,Gasoline,C250,Coupe,automatic
8/1/1983,Suzuki,12.96,Gasoline,SX,Sedan,automatic
8/1/1983,Suzuki,12.96,Bio Diesel,2.5,Sedan,automatic
8/1/1983,Mahindra,12.961,Bio Diesel,2.5,Sedan,automatic
8/1/1983,Hyundai,12.961,Ethanol,G37 Journey,G Sedan,automatic
8/1/1983,Nissan,12.961,Gasoline,2.5,Sedan,automatic
8/1/1983,Mahindra,12.962,Bio Diesel,Unlimited Sahara,SUV,automatic
8/1/1983,Toyota,12.962,Ethanol,Sport,Hatchback,automatic
8/1/1983,Suzuki,12.962,Bio Diesel,2.5,Sedan,automatic
